111	眼睁睁 冷冰冰
1111	牢牢 老老实实 宜室宜家 冰冰凉凉 思考思考
11111	老老实实 思考思考
11112	牢牢 宜室宜家 冰冰凉凉 安安逸逸 宜家宜室
1112	宜家家居 彻头彻尾 饮食男女
11121	饮食男女
11122	宜家家居 彻头彻尾
1113	目食耳视 待兔守株 饱饱眼福
11131	目食耳视 饱饱眼福
11132	待兔守株
1115	寒冷 冷冰冰 睹物思人 鳄鱼眼泪
11151	睹物思人
11152	寒冷 冷冰冰 鳄鱼眼泪
1116	实物 耳聪目明
11161	耳聪目明
11162	实物
1117	龟兔赛跑
11172	龟兔赛跑
1118	饮食宜忌 眼睁睁的
11181	饮食宜忌 眼睁睁的
1119	眼睁睁
11191	眼睁睁
112	制造业
1121	男室女家 寝食不安 耳目闭塞 老牛舐犊 告老还家
11211	男室女家 耳目闭塞 老牛舐犊 告老还家
11212	寝食不安
1122	安家乐业 安安静静 男男女女 男盗女娼 密密层层
11221	男男女女 男盗女娼
11222	安家乐业 安安静静 密密层层 宾客如云 龟鹤遐寿
1123	制造业中 待字闺中 进思尽忠
11231	制造业中 进思尽忠
11232	待字闺中
1124	告老还乡 五脊六兽
11241	告老还乡
11242	五脊六兽
1125	饮食不节 老眼昏花
11251	饮食不节 老眼昏花
1126	饭牛屠狗 累累如珠
11261	饭牛屠狗 累累如珠
1127	睡眠不足
11271	睡眠不足
1128	冷眼静看 饥寒交迫 累教不改
11281	饥寒交迫 累教不改
11282	冷眼静看
1129	制造业 龟冷支床 凝瞩不转 往蹇来连
11291	制造业
11292	龟冷支床 凝瞩不转 往蹇来连
113	取决于 眼睛里
1131	卧冰求鲤 冷眼相待
11311	卧冰求鲤
11312	冷眼相待
1132	寓教于乐 食物中毒 耳目喉舌
11321	食物中毒 耳目喉舌
11322	寓教于乐
1133	眠思梦想 思考一下 目瞪口呆 睥睨天下 徙宅忘妻
11331	眠思梦想 思考一下 目瞪口呆 睥睨天下
11332	徙宅忘妻
1134	职教中心 食宿相兼 耿耿于怀 耳目一新 微微一怔
11341	职教中心 食宿相兼 耿耿于怀 耳目一新 耿耿于心
11342	微微一怔 安守本分
1135	眼睛里 寄宿中学 准军事化 冰寒于水
11351	眼睛里
11352	寄宿中学 准军事化 冰寒于水
1136	取决于 聊聊天 寥寥无几 煮鹤焚琴
11361	取决于 聊聊天 煮鹤焚琴
11362	寥寥无几
1137	写字楼 先进材料 微微一笑 安宅正路 齐聚一堂
11371	先进材料 齐聚一堂 睥睨一切
11372	写字楼 微微一笑 安宅正路 寤寐求之 得鱼忘筌
1138	饮食禁忌 教职员工 定睛一看 冤冤相报 鳞次栉比
11381	饮食禁忌 教职员工
11382	定睛一看 冤冤相报 鳞次栉比 官官相护
114	老头子 决定性
1141	齐头并进
11411	齐头并进
1142	瞠目结舌 安家立业 鲂鱼赪尾
11421	瞠目结舌
11422	安家立业 鲂鱼赪尾
1143	实地 五官端正 安富恤穷 田头地里
11431	田头地里
11432	实地 五官端正 安富恤穷
1144	瞎子 老头子 睡眼惺忪 字字句句 宜家商场
11441	瞎子 老头子 睡眼惺忪 熙熙壤壤 累得半死
11442	字字句句 宜家商场 象征主义 凄凄惨惨 安安心心
1145	决定性 先进性 制造商们 先决条件 安富尊荣
11451	先进性 制造商们 先决条件
11452	决定性 安富尊荣
1146	饱食终日 鳏寡孤独 察察为明
11461	饱食终日
11462	鳏寡孤独 察察为明
1147	安德烈 循循善诱 冷眼旁观 牛鼎烹鸡
11471	牛鼎烹鸡
11472	安德烈 循循善诱 冷眼旁观
1148	睚眦必报
11481	睚眦必报
1149	鲁鱼帝虎 安老怀少 寡鹄孤鸾
11492	鲁鱼帝虎 安老怀少 寡鹄孤鸾
115	老家伙 老实人
1152	老家伙 往往会 宴安鸠毒 饮冰茹檗 造微入妙
11521	老家伙 饮冰茹檗 造微入妙
11522	往往会 宴安鸠毒
1153	实施 实体 瞑思苦想 冥思苦想
11531	瞑思苦想
11532	实施 实体 冥思苦想
1154	宪法 宇宙世纪 睹物兴情
11541	睹物兴情
11542	宪法 宇宙世纪
1155	鼎鱼幕燕 宗教信仰 完完全全 耳目众多 富得流油
11551	鼎鱼幕燕 耳目众多
11552	宗教信仰 完完全全 富得流油 宇宙洪荒 鱼目混杂
1156	鱼目混珠 安家落户 冥思苦索 察察而明
11562	鱼目混珠 安家落户 冥思苦索 察察而明
1157	老实人 宗教仪式 制宪会议 齐家治国
11571	老实人 制宪会议 齐家治国
11572	宗教仪式
1158	宗教学系
11582	宗教学系
1159	农田水利 容头过身
11592	农田水利 容头过身
116	很容易 往往是
1161	齐王 告老在家 耆德硕老
11611	齐王 告老在家 耆德硕老
1162	进食时间 老实巴交 微微蹙眉 牛头马面
11621	进食时间 老实巴交 牛头马面
11622	微微蹙眉
1163	实现 瞅准时机
11631	瞅准时机
11632	实现
1164	实在 井井有条 头头是道 寥寥几句
11641	井井有条
11642	实在 头头是道 寥寥几句
1165	实验 制造环节 耶鲁大学 鼎鼎大名 造次颠沛
11651	制造环节 耶鲁大学 鼎鼎大名 造次颠沛 睹微知著
11652	实验
1166	很容易 实实在在 字字珠玑 食宿自理 家家户户
11661	食宿自理 牝牡骊黄 熙熙融融
11662	很容易 实实在在 字字珠玑 家家户户 宽宏大量
1167	头都大了 微微蹙起
11672	头都大了 微微蹙起
1168	往往是 实有 饮冰内热 饱食暖衣
11681	饮冰内热 饱食暖衣
11682	往往是 实有
1169	耳目昭彰 宽豁大度 宽宏大度 老牛破车 安定有序
11691	耳目昭彰 老牛破车
11692	宽豁大度 宽宏大度 安定有序
117	凝聚力 老实说
1171	寝食难安
11712	寝食难安
1172	实话 饮食起居
11721	饮食起居
11722	实话
1173	实践 耽误 冥冥之中 耄耋之年 造次行事
11731	耽误 耄耋之年 造次行事
11732	实践 冥冥之中
1174	老实说 待客之道 安定团结 字字诛心
11741	老实说
11742	待客之道 安定团结 字字诛心
1175	实力 凝聚力 饮鸩止渴 寥寥数人 牛农对泣
11751	饮鸩止渴 牛农对泣 瞋目切齿
11752	实力 凝聚力 寥寥数人 冶容诲淫
1177	决定试试 进进出出 鲍鱼之肆 耳食之论 寥寥数语
11771	进进出出 耳食之论 耳食之谈 耳食之言
11772	决定试试 鲍鱼之肆 寥寥数语 字字箴言 徘徊歧路
1178	牢记
11782	牢记
1179	实行
11792	实行
1181	寒气 眼馋肚饱
11811	眼馋肚饱
11812	寒气
1182	都头异姓 凑凑热闹 冰冻三尺
11821	都头异姓
11822	凑凑热闹 冰冻三尺
1183	实际 眼睛近视 制定以下
11831	眼睛近视 制定以下
11832	实际
1184	累得要死 先得我心 饿得要死
11841	累得要死 先得我心 饿得要死
1187	宗教势力
11872	宗教势力
1188	睡眼朦胧 熙熙攘攘 客客气气 头头脑脑 耳目股肱
11881	睡眼朦胧 熙熙攘攘 耳目股肱
11882	客客气气 头头脑脑
119	安徽省
1192	家徒四壁 安家置业
11922	家徒四壁 安家置业
1193	德累斯顿
